ID;NAME;PHONE;ADDED_AT;REMOVED_AT;EMAIL;IS_ACTIVE
38;Ronald;24;18-02-2020;;Jimmy.Tyler@GMAIL.COM;false
39;James;47;12-01-2020;;Chester.Van Buren@GMAIL.COM;false
40;Ulysses;58;14-02-2020;;Bill.Pierce@GMAIL.COM;false
41;Lyndon;57;26-01-2020;05-04-2020;John.Ford@GMAIL.COM;true
42;George;26;25-01-2020;;Richard.Carter@GMAIL.COM;false
43;Herbert;62;25-02-2020;;Millard.Tyler@GMAIL.COM;false
44;Franklin;12;08-01-2020;11-04-2020;Bill.Eisenhower@GMAIL.COM;true
45;Herbert;100;19-01-2020;04-04-2020;Warren.Grant@GMAIL.COM;true
46;Ulysses;12;03-01-2020;;George.Truman@GMAIL.COM;false
47;Ronald;96;06-01-2020;24-04-2020;Franklin.Jefferson@GMAIL.COM;true
48;Franklin;33;27-01-2020;;Harry.Polk@GMAIL.COM;false
49;Harry;37;31-01-2020;;Lyndon.Polk@GMAIL.COM;false
50;Lyndon;30;10-01-2020;;John.Hayes@GMAIL.COM;false
51;Harry;12;31-01-2020;15-04-2020;Theodore.Quincy@GMAIL.COM;true
52;Ulysses;88;18-02-2020;;John.Ford@GMAIL.COM;false
53;Jimmy;44;04-02-2020;;Bill.Nixon@GMAIL.COM;false
54;Rutherford;74;18-01-2020;;Lyndon.Quincy@GMAIL.COM;false
55;Lyndon;14;11-02-2020;28-04-2020;Woodrow.Truman@GMAIL.COM;true
56;Theodore;48;23-01-2020;;Abraham.Tyler@GMAIL.COM;false
57;John;25;05-01-2020;11-04-2020;William.Eisenhower@GMAIL.COM;true
58;Herbert;75;11-02-2020;;James.Garfield@GMAIL.COM;false
59;Abraham;31;13-02-2020;12-04-2020;Bill.Arthur@GMAIL.COM;true
60;Chester;97;25-01-2020;29-04-2020;Theodore.Harrison@GMAIL.COM;true
61;Bill;18;03-02-2020;22-04-2020;Calvin.Jefferson@GMAIL.COM;true
62;Harry;72;06-01-2020;;Lyndon.Coolidge@GMAIL.COM;false
63;Lyndon;81;10-02-2020;;Bill.Reagan@GMAIL.COM;false
64;James;95;15-01-2020;;Grover.Taft@GMAIL.COM;false
65;Benjamin;31;19-02-2020;20-04-2020;Calvin.Harrison@GMAIL.COM;true
66;Herbert;48;26-01-2020;22-04-2020;Gerald.Taylor@GMAIL.COM;true
67;Harry;63;01-02-2020;19-04-2020;Bill.Wilson@GMAIL.COM;true
68;Ulysses;84;28-01-2020;;Bill.Cleveland@GMAIL.COM;false
69;Ronald;46;06-01-2020;;Andrew.Roosevelt@GMAIL.COM;false
70;Harry;77;04-01-2020;14-04-2020;Grover.Roosevelt@GMAIL.COM;true
71;Dwight;70;24-02-2020;10-04-2020;Ulysses.Johnson@GMAIL.COM;true
72;Lyndon;48;10-01-2020;07-04-2020;Andrew.Hayes@GMAIL.COM;true
73;Calvin;64;29-02-2020;;George.Tyler@GMAIL.COM;false
74;Woodrow;87;26-01-2020;11-04-2020;William.Nixon@GMAIL.COM;true
75;Millard;73;28-02-2020;;Millard.Roosevelt@GMAIL.COM;false
76;William;63;01-03-2020;03-04-2020;George.Jackson@GMAIL.COM;true
77;James;16;01-03-2020;09-04-2020;Ulysses.Taft@GMAIL.COM;true
78;Andrew;36;31-01-2020;11-04-2020;Grover.Ford@GMAIL.COM;true
79;Ulysses;54;20-01-2020;;Harry.Madison@GMAIL.COM;false
80;Ulysses;61;09-01-2020;;Andrew.Reagan@GMAIL.COM;false
81;Rutherford;16;07-01-2020;29-04-2020;Calvin.McKinley@GMAIL.COM;true
82;Andrew;17;09-01-2020;03-04-2020;Franklin.Ford@GMAIL.COM;true
83;Rutherford;97;25-02-2020;;Harry.Cleveland@GMAIL.COM;false
84;Herbert;33;16-02-2020;;Warren.Reagan@GMAIL.COM;false
85;William;44;04-02-2020;05-04-2020;Gerald.Coolidge@GMAIL.COM;true
86;Theodore;44;31-01-2020;15-04-2020;Woodrow.Taft@GMAIL.COM;true
87;Warren;62;15-02-2020;26-04-2020;Harry.Coolidge@GMAIL.COM;true
88;George;31;09-02-2020;;Calvin.Roosevelt@GMAIL.COM;false
89;Harry;37;20-01-2020;04-04-2020;Calvin.Harding@GMAIL.COM;true
90;Warren;19;09-02-2020;25-04-2020;Zachary.Eisenhower@GMAIL.COM;true
91;Millard;15;06-02-2020;;Jimmy.Harrison@GMAIL.COM;false
92;Millard;79;07-01-2020;08-04-2020;Grover.Roosevelt@GMAIL.COM;true
93;Benjamin;40;24-02-2020;29-04-2020;John.Jefferson@GMAIL.COM;true
94;Warren;56;29-01-2020;;Lyndon.Clinton@GMAIL.COM;false
95;Dwight;45;25-01-2020;28-04-2020;Calvin.Reagan@GMAIL.COM;true
96;Millard;26;13-01-2020;;Ulysses.Johnson@GMAIL.COM;false
97;Millard;80;05-01-2020;;Harry.Polk@GMAIL.COM;false
98;John;91;28-01-2020;10-04-2020;Benjamin.Madison@GMAIL.COM;true
99;Harry;10;08-01-2020;;William.Pierce@GMAIL.COM;false
100;Dwight;99;24-02-2020;;Warren.Grant@GMAIL.COM;false
101;Bill;14;26-02-2020;27-04-2020;Warren.Taft@GMAIL.COM;true
102;Zachary;82;22-02-2020;27-04-2020;Harry.Taylor@GMAIL.COM;true
103;Theodore;98;06-01-2020;;Calvin.Roosevelt@GMAIL.COM;false
104;Benjamin;20;24-01-2020;;William.Quincy@GMAIL.COM;false
105;Theodore;36;21-02-2020;;William.Madison@GMAIL.COM;false
106;Ulysses;64;15-02-2020;;Andrew.Jefferson@GMAIL.COM;false
107;George;12;10-01-2020;;James.Jefferson@GMAIL.COM;false
108;Ulysses;33;21-02-2020;23-04-2020;Rutherford.Buchanan@GMAIL.COM;true
109;Franklin;82;22-02-2020;;Woodrow.McKinley@GMAIL.COM;false
110;James;27;04-01-2020;;Dwight.Johnson@GMAIL.COM;false
111;William;56;23-02-2020;;Rutherford.McKinley@GMAIL.COM;false
112;Thomas;100;05-01-2020;;Calvin.Adams@GMAIL.COM;false
113;Jimmy;45;15-01-2020;25-04-2020;Andrew.Harrison@GMAIL.COM;true
114;Zachary;20;19-01-2020;;Gerald.Truman@GMAIL.COM;false
115;Chester;74;24-02-2020;18-04-2020;Andrew.Tyler@GMAIL.COM;true
116;Lyndon;28;16-02-2020;;Andrew.Tyler@GMAIL.COM;false
117;Chester;12;20-02-2020;;Richard.Arthur@GMAIL.COM;false
118;Warren;79;20-01-2020;06-04-2020;Zachary.Carter@GMAIL.COM;true
119;James;90;22-01-2020;;Grover.Jefferson@GMAIL.COM;false
120;Herbert;81;09-02-2020;22-04-2020;Warren.Clinton@GMAIL.COM;true
121;Millard;12;26-01-2020;25-04-2020;Jimmy.Johnson@GMAIL.COM;true
122;George;89;13-02-2020;;Ronald.Eisenhower@GMAIL.COM;false
123;Chester;87;11-02-2020;;Richard.Hoover@GMAIL.COM;false
124;John;60;19-02-2020;17-04-2020;Gerald.Johnson@GMAIL.COM;true
125;James;42;24-01-2020;04-04-2020;Millard.Quincy@GMAIL.COM;true
126;John;43;17-02-2020;;Benjamin.Washington@GMAIL.COM;false
127;Zachary;78;17-01-2020;;George.Ford@GMAIL.COM;false
128;Theodore;42;16-01-2020;20-04-2020;Ronald.Kennedy@GMAIL.COM;true
129;Theodore;83;18-01-2020;18-04-2020;John.Taylor@GMAIL.COM;true
130;Millard;96;28-02-2020;22-04-2020;Herbert.Johnson@GMAIL.COM;true
131;Rutherford;61;28-02-2020;;Andrew.Hayes@GMAIL.COM;false
132;Bill;52;17-01-2020;03-04-2020;George.Grant@GMAIL.COM;true
133;Warren;62;23-01-2020;16-04-2020;Ronald.Van Buren@GMAIL.COM;true
134;Gerald;76;28-01-2020;;Richard.Nixon@GMAIL.COM;false
135;Dwight;47;08-01-2020;26-04-2020;Richard.Roosevelt@GMAIL.COM;true
136;George;97;09-02-2020;10-04-2020;William.Pierce@GMAIL.COM;true
137;Millard;71;03-01-2020;;Chester.Coolidge@GMAIL.COM;false
138;Bill;70;09-01-2020;;Andrew.Coolidge@GMAIL.COM;false
139;Chester;70;05-01-2020;15-04-2020;William.Reagan@GMAIL.COM;true
140;Thomas;49;02-02-2020;15-04-2020;Chester.Garfield@GMAIL.COM;true
141;William;35;23-02-2020;08-04-2020;Harry.Buchanan@GMAIL.COM;true
142;Andrew;31;28-02-2020;18-04-2020;Jimmy.Polk@GMAIL.COM;true
143;Martin;35;18-01-2020;20-04-2020;Ulysses.Madison@GMAIL.COM;true
144;Andrew;48;15-02-2020;26-04-2020;Ulysses.Arthur@GMAIL.COM;true
145;Grover;44;26-01-2020;01-05-2020;Warren.Reagan@GMAIL.COM;true
146;Richard;12;19-01-2020;10-04-2020;Chester.Harrison@GMAIL.COM;true
147;Franklin;39;08-01-2020;04-04-2020;Ronald.Monroe@GMAIL.COM;true
148;Herbert;64;01-02-2020;;James.Clinton@GMAIL.COM;false
149;Franklin;74;28-02-2020;;Jimmy.Carter@GMAIL.COM;false
150;Franklin;45;19-01-2020;;Franklin.Grant@GMAIL.COM;false
151;Richard;75;17-02-2020;;Theodore.Carter@GMAIL.COM;false
152;George;58;28-01-2020;25-04-2020;Ronald.Harrison@GMAIL.COM;true
153;Theodore;13;18-01-2020;;Herbert.Coolidge@GMAIL.COM;false
154;Calvin;98;30-01-2020;;Chester.Wilson@GMAIL.COM;false
155;Martin;62;08-02-2020;;Benjamin.Roosevelt@GMAIL.COM;false
156;John;79;21-02-2020;07-04-2020;Ulysses.Harding@GMAIL.COM;true
157;Martin;40;10-01-2020;01-05-2020;Dwight.Fillmore@GMAIL.COM;true
158;William;16;18-02-2020;20-04-2020;Abraham.Harding@GMAIL.COM;true
159;Andrew;13;24-01-2020;05-04-2020;Harry.Tyler@GMAIL.COM;true
160;Ronald;40;31-01-2020;27-04-2020;Martin.Johnson@GMAIL.COM;true
161;Thomas;97;08-01-2020;;Lyndon.Polk@GMAIL.COM;false
162;Grover;51;25-02-2020;;Dwight.Polk@GMAIL.COM;false
163;Dwight;55;05-02-2020;;Herbert.Grant@GMAIL.COM;false
164;Jimmy;24;05-01-2020;;Benjamin.Garfield@GMAIL.COM;false
165;Calvin;62;22-01-2020;09-04-2020;Bill.Jackson@GMAIL.COM;true
166;Ronald;43;10-02-2020;;Franklin.Johnson@GMAIL.COM;false
167;Martin;99;03-02-2020;;George.McKinley@GMAIL.COM;false
168;Warren;20;08-02-2020;19-04-2020;Rutherford.Adams@GMAIL.COM;true
169;Zachary;68;06-01-2020;02-04-2020;John.Garfield@GMAIL.COM;true
170;Jimmy;60;18-01-2020;;Rutherford.Adams@GMAIL.COM;false
171;Chester;32;21-02-2020;21-04-2020;James.Fillmore@GMAIL.COM;true
172;Dwight;40;19-01-2020;03-04-2020;Zachary.Nixon@GMAIL.COM;true
173;Gerald;27;05-02-2020;;James.Ford@GMAIL.COM;false
174;George;90;20-02-2020;;Ulysses.Taft@GMAIL.COM;false
175;Theodore;70;08-02-2020;;Harry.McKinley@GMAIL.COM;false
176;Ronald;71;27-02-2020;06-04-2020;Rutherford.Pierce@GMAIL.COM;true
177;Herbert;80;13-01-2020;01-05-2020;John.Hayes@GMAIL.COM;true
178;James;33;13-01-2020;24-04-2020;Woodrow.Eisenhower@GMAIL.COM;true
179;Theodore;89;14-01-2020;27-04-2020;Harry.Coolidge@GMAIL.COM;true
180;Rutherford;39;06-02-2020;09-04-2020;Warren.Harrison@GMAIL.COM;true
181;Gerald;99;22-01-2020;;Harry.Hayes@GMAIL.COM;false
182;Abraham;75;19-01-2020;;George.Johnson@GMAIL.COM;false
183;Grover;32;19-01-2020;;Lyndon.Clinton@GMAIL.COM;false
184;William;28;08-02-2020;;Millard.Johnson@GMAIL.COM;false
185;Jimmy;26;03-01-2020;13-04-2020;Rutherford.Madison@GMAIL.COM;true
186;John;100;02-02-2020;;Benjamin.Polk@GMAIL.COM;false
187;Lyndon;14;11-01-2020;30-04-2020;Calvin.Jackson@GMAIL.COM;true
188;Benjamin;66;21-02-2020;22-04-2020;Ronald.Nixon@GMAIL.COM;true
189;Theodore;53;06-02-2020;13-04-2020;James.Truman@GMAIL.COM;true
190;Grover;44;23-02-2020;24-04-2020;Calvin.Coolidge@GMAIL.COM;true
191;Gerald;69;15-02-2020;;Millard.Arthur@GMAIL.COM;false
192;Theodore;14;03-02-2020;;Millard.Kennedy@GMAIL.COM;false
193;William;42;27-01-2020;17-04-2020;John.Madison@GMAIL.COM;true
194;Rutherford;61;24-01-2020;;Theodore.Johnson@GMAIL.COM;false
195;Herbert;58;04-01-2020;06-04-2020;George.Garfield@GMAIL.COM;true
196;Grover;60;24-02-2020;;Jimmy.Fillmore@GMAIL.COM;false
197;Andrew;17;15-02-2020;;Richard.Roosevelt@GMAIL.COM;false
198;Ronald;92;03-02-2020;;Bill.Wilson@GMAIL.COM;false
199;Calvin;58;24-02-2020;21-04-2020;Grover.Roosevelt@GMAIL.COM;true
200;John;32;14-01-2020;23-04-2020;Zachary.Grant@GMAIL.COM;true
201;Ulysses;89;24-02-2020;04-04-2020;Franklin.Clinton@GMAIL.COM;true
202;Chester;67;21-02-2020;04-04-2020;Grover.Truman@GMAIL.COM;true
203;Thomas;30;18-02-2020;;Benjamin.Washington@GMAIL.COM;false
204;Franklin;51;23-01-2020;;Ulysses.Van Buren@GMAIL.COM;false
205;George;13;26-02-2020;;Herbert.Coolidge@GMAIL.COM;false
206;Jimmy;96;09-01-2020;13-04-2020;Richard.Harrison@GMAIL.COM;true
207;Andrew;42;27-02-2020;;Richard.Reagan@GMAIL.COM;false
208;Ronald;79;07-01-2020;;Warren.McKinley@GMAIL.COM;false
209;Lyndon;64;21-02-2020;10-04-2020;Ronald.Cleveland@GMAIL.COM;true
210;Herbert;38;14-01-2020;30-04-2020;Warren.Buchanan@GMAIL.COM;true
211;Zachary;100;23-02-2020;29-04-2020;Dwight.Nixon@GMAIL.COM;true
212;Bill;39;04-02-2020;;Herbert.Pierce@GMAIL.COM;false
213;Rutherford;70;26-01-2020;15-04-2020;Calvin.Truman@GMAIL.COM;true
214;Ronald;62;12-02-2020;02-04-2020;Richard.Grant@GMAIL.COM;true
215;Lyndon;51;08-01-2020;;Grover.Jefferson@GMAIL.COM;false
216;Zachary;59;25-01-2020;28-04-2020;John.Hayes@GMAIL.COM;true
217;Dwight;96;17-01-2020;;Woodrow.Van Buren@GMAIL.COM;false
218;Ulysses;71;01-02-2020;10-04-2020;Jimmy.Johnson@GMAIL.COM;true
219;Franklin;88;20-01-2020;;Woodrow.Johnson@GMAIL.COM;false
220;Benjamin;78;18-02-2020;;Calvin.Washington@GMAIL.COM;false
221;Zachary;51;17-01-2020;08-04-2020;Ronald.Roosevelt@GMAIL.COM;true
222;Benjamin;25;13-01-2020;;Richard.Nixon@GMAIL.COM;false
223;Jimmy;88;26-01-2020;;Dwight.Hoover@GMAIL.COM;false
224;Benjamin;99;04-02-2020;;Harry.Hayes@GMAIL.COM;false
225;John;31;21-02-2020;04-04-2020;Benjamin.Pierce@GMAIL.COM;true
226;Chester;84;13-01-2020;06-04-2020;Chester.Tyler@GMAIL.COM;true
227;Gerald;68;16-01-2020;19-04-2020;Dwight.Adams@GMAIL.COM;true
228;Grover;90;19-02-2020;18-04-2020;James.Eisenhower@GMAIL.COM;true
229;Franklin;77;28-02-2020;16-04-2020;Theodore.Buchanan@GMAIL.COM;true
230;John;89;06-02-2020;24-04-2020;Grover.Eisenhower@GMAIL.COM;true
231;Calvin;88;28-02-2020;25-04-2020;Chester.Taft@GMAIL.COM;true
232;Dwight;40;29-01-2020;;Lyndon.Fillmore@GMAIL.COM;false
233;Benjamin;98;20-01-2020;26-04-2020;Dwight.Hayes@GMAIL.COM;true
234;Andrew;73;05-02-2020;;William.Taft@GMAIL.COM;false
235;Lyndon;69;24-02-2020;;Harry.Truman@GMAIL.COM;false
236;Calvin;85;27-02-2020;19-04-2020;Franklin.Jackson@GMAIL.COM;true
237;Jimmy;57;08-01-2020;;Harry.Hayes@GMAIL.COM;false
238;John;28;17-02-2020;;James.Polk@GMAIL.COM;false
239;Dwight;59;25-02-2020;06-04-2020;Dwight.Johnson@GMAIL.COM;true
240;Warren;36;03-01-2020;;Millard.Cleveland@GMAIL.COM;false
241;Woodrow;36;11-01-2020;24-04-2020;Richard.Jackson@GMAIL.COM;true
242;Woodrow;36;10-02-2020;;George.Madison@GMAIL.COM;false
243;Martin;77;30-01-2020;;Zachary.Reagan@GMAIL.COM;false
244;Woodrow;29;23-01-2020;;Ulysses.Buchanan@GMAIL.COM;false
245;Franklin;39;23-01-2020;14-04-2020;Herbert.Nixon@GMAIL.COM;true
246;Richard;10;20-02-2020;;Richard.Carter@GMAIL.COM;false
247;John;39;16-01-2020;;Woodrow.Johnson@GMAIL.COM;false
248;Harry;61;14-01-2020;;Andrew.Coolidge@GMAIL.COM;false
249;Ulysses;45;14-01-2020;;Harry.Reagan@GMAIL.COM;false
250;Chester;24;07-01-2020;17-04-2020;Dwight.Lincoln@GMAIL.COM;true
251;Richard;18;12-02-2020;;Woodrow.Fillmore@GMAIL.COM;false
252;Calvin;14;14-01-2020;19-04-2020;Dwight.Adams@GMAIL.COM;true
253;John;80;12-01-2020;25-04-2020;Dwight.Ford@GMAIL.COM;true
254;Dwight;45;02-02-2020;;Theodore.Taft@GMAIL.COM;false
255;Jimmy;89;19-02-2020;19-04-2020;Grover.Carter@GMAIL.COM;true
256;Dwight;40;27-02-2020;07-04-2020;Abraham.Carter@GMAIL.COM;true
257;Dwight;97;16-01-2020;;Millard.Buchanan@GMAIL.COM;false
258;Martin;68;15-01-2020;29-04-2020;Rutherford.Fillmore@GMAIL.COM;true
259;Theodore;41;13-01-2020;05-04-2020;Jimmy.Adams@GMAIL.COM;true
260;Woodrow;24;04-02-2020;14-04-2020;Gerald.Polk@GMAIL.COM;true
261;Ronald;76;18-02-2020;04-04-2020;Benjamin.Grant@GMAIL.COM;true
262;Zachary;67;24-02-2020;09-04-2020;Grover.Hoover@GMAIL.COM;true
263;Herbert;93;19-01-2020;;Ronald.Hoover@GMAIL.COM;false
264;Gerald;65;01-03-2020;;Warren.Washington@GMAIL.COM;false
265;Rutherford;66;23-01-2020;;Millard.Fillmore@GMAIL.COM;false
266;Calvin;80;28-01-2020;;Grover.Kennedy@GMAIL.COM;false
267;George;82;27-01-2020;;Franklin.Jefferson@GMAIL.COM;false
268;Calvin;15;08-01-2020;10-04-2020;James.Ford@GMAIL.COM;true
269;Jimmy;43;02-01-2020;22-04-2020;Woodrow.Clinton@GMAIL.COM;true
270;Theodore;100;20-02-2020;;Warren.Jackson@GMAIL.COM;false
271;Ulysses;73;17-01-2020;11-04-2020;Jimmy.Nixon@GMAIL.COM;true
272;Franklin;39;24-01-2020;;Ronald.Roosevelt@GMAIL.COM;false
273;Abraham;33;24-01-2020;08-04-2020;Calvin.Pierce@GMAIL.COM;true
274;Ronald;66;29-01-2020;02-04-2020;Thomas.Harding@GMAIL.COM;true
275;Franklin;10;12-02-2020;02-04-2020;Jimmy.Washington@GMAIL.COM;true
276;Calvin;38;04-01-2020;20-04-2020;Jimmy.Taft@GMAIL.COM;true
277;Theodore;66;17-01-2020;06-04-2020;William.Ford@GMAIL.COM;true
278;Millard;86;25-01-2020;27-04-2020;Theodore.Johnson@GMAIL.COM;true
279;Theodore;27;23-01-2020;24-04-2020;John.Kennedy@GMAIL.COM;true
280;Abraham;73;24-01-2020;;Thomas.Ford@GMAIL.COM;false
281;Richard;76;06-02-2020;;Benjamin.Jackson@GMAIL.COM;false
282;Theodore;14;15-02-2020;03-04-2020;Millard.Garfield@GMAIL.COM;true
283;Martin;17;14-02-2020;;Franklin.Carter@GMAIL.COM;false
284;George;95;09-01-2020;01-04-2020;George.Adams@GMAIL.COM;true
285;Thomas;47;23-02-2020;10-04-2020;Grover.Buchanan@GMAIL.COM;true
286;Woodrow;80;09-02-2020;18-04-2020;Lyndon.Van Buren@GMAIL.COM;true
287;Thomas;63;01-02-2020;;Warren.Carter@GMAIL.COM;false
288;Benjamin;65;22-02-2020;26-04-2020;Martin.Jefferson@GMAIL.COM;true
289;William;66;10-01-2020;18-04-2020;Gerald.Johnson@GMAIL.COM;true
290;Richard;80;20-01-2020;17-04-2020;Woodrow.Johnson@GMAIL.COM;true
291;Herbert;22;23-02-2020;30-04-2020;Millard.Johnson@GMAIL.COM;true
292;James;47;31-01-2020;;Jimmy.Hoover@GMAIL.COM;false
293;Harry;82;29-02-2020;23-04-2020;John.Kennedy@GMAIL.COM;true
294;Martin;63;04-01-2020;22-04-2020;Calvin.Quincy@GMAIL.COM;true
295;Chester;77;26-01-2020;;Ulysses.Harrison@GMAIL.COM;false
296;Gerald;60;26-02-2020;09-04-2020;Harry.Buchanan@GMAIL.COM;true
297;John;88;14-02-2020;;Martin.Adams@GMAIL.COM;false
298;Gerald;43;27-01-2020;;Gerald.Fillmore@GMAIL.COM;false
299;Rutherford;97;12-01-2020;;Woodrow.Carter@GMAIL.COM;false
300;Franklin;11;08-02-2020;18-04-2020;Thomas.Johnson@GMAIL.COM;true
301;Lyndon;10;04-01-2020;;Richard.Johnson@GMAIL.COM;false
302;William;45;06-01-2020;14-04-2020;Thomas.Roosevelt@GMAIL.COM;true
303;Gerald;98;15-01-2020;;James.Hayes@GMAIL.COM;false
304;Jimmy;59;15-01-2020;24-04-2020;Grover.Adams@GMAIL.COM;true
305;Ulysses;85;08-02-2020;09-04-2020;Theodore.McKinley@GMAIL.COM;true
306;Zachary;75;21-01-2020;05-04-2020;Richard.Harrison@GMAIL.COM;true
307;Ulysses;27;17-01-2020;22-04-2020;Grover.Cleveland@GMAIL.COM;true
308;Lyndon;45;23-01-2020;14-04-2020;James.Tyler@GMAIL.COM;true
309;Lyndon;79;19-02-2020;18-04-2020;Richard.Harrison@GMAIL.COM;true
310;James;85;05-01-2020;;Martin.Harrison@GMAIL.COM;false
311;Herbert;45;15-02-2020;07-04-2020;Richard.Johnson@GMAIL.COM;true
312;George;98;09-02-2020;;Gerald.Coolidge@GMAIL.COM;false
313;Harry;65;28-02-2020;02-04-2020;Millard.Reagan@GMAIL.COM;true
314;Lyndon;84;05-02-2020;;John.McKinley@GMAIL.COM;false
315;Gerald;52;29-01-2020;15-04-2020;Harry.Roosevelt@GMAIL.COM;true
316;Richard;37;01-03-2020;16-04-2020;Benjamin.Harrison@GMAIL.COM;true
317;Millard;72;26-01-2020;;Theodore.Ford@GMAIL.COM;false
318;Thomas;18;13-01-2020;;Martin.Hayes@GMAIL.COM;false
319;Warren;77;16-01-2020;;Theodore.Madison@GMAIL.COM;false
320;Harry;20;03-02-2020;19-04-2020;James.Cleveland@GMAIL.COM;true
321;Thomas;76;06-01-2020;;Theodore.Washington@GMAIL.COM;false
322;Gerald;21;26-01-2020;12-04-2020;Benjamin.Roosevelt@GMAIL.COM;true
323;Martin;22;08-01-2020;16-04-2020;James.Harding@GMAIL.COM;true
324;Herbert;40;31-01-2020;13-04-2020;Rutherford.Garfield@GMAIL.COM;true
325;Zachary;42;22-01-2020;;Woodrow.Adams@GMAIL.COM;false
326;Grover;29;18-01-2020;06-04-2020;Chester.Carter@GMAIL.COM;true
327;Ronald;43;29-02-2020;18-04-2020;Ulysses.Polk@GMAIL.COM;true
328;Woodrow;43;22-01-2020;14-04-2020;Woodrow.Eisenhower@GMAIL.COM;true
329;Warren;100;30-01-2020;;John.Kennedy@GMAIL.COM;false
330;Zachary;67;15-01-2020;07-04-2020;Herbert.Carter@GMAIL.COM;true
331;Bill;11;23-01-2020;11-04-2020;Harry.Taft@GMAIL.COM;true
332;Millard;81;15-02-2020;22-04-2020;Rutherford.Madison@GMAIL.COM;true
333;Theodore;52;30-01-2020;27-04-2020;George.Jefferson@GMAIL.COM;true
334;Herbert;90;25-02-2020;29-04-2020;Richard.Buchanan@GMAIL.COM;true
335;Grover;47;01-02-2020;04-04-2020;Gerald.Hayes@GMAIL.COM;true
336;Bill;27;10-01-2020;;Gerald.Wilson@GMAIL.COM;false
337;Ulysses;43;19-01-2020;29-04-2020;Chester.Madison@GMAIL.COM;true
338;Woodrow;13;12-02-2020;10-04-2020;Bill.Quincy@GMAIL.COM;true
339;Gerald;12;28-01-2020;08-04-2020;Thomas.Quincy@GMAIL.COM;true
340;John;40;24-02-2020;12-04-2020;Jimmy.Wilson@GMAIL.COM;true
341;Theodore;28;01-03-2020;;Ulysses.Wilson@GMAIL.COM;false
342;George;81;06-02-2020;;Warren.Monroe@GMAIL.COM;false
343;Dwight;10;06-01-2020;;Calvin.Garfield@GMAIL.COM;false
344;Calvin;16;16-01-2020;;Ronald.Lincoln@GMAIL.COM;false
345;James;24;09-02-2020;;William.Pierce@GMAIL.COM;false
